Video id,Link,Primary Tag,Secondary Tag,Rating,Coder_Description,desc
Q7zJ7sKKyVQ,youtube.com/watch?v=Q7zJ7sKKyVQ,irrelevant,Science & Technology,,A person talking about laptops and processors. The audio is in a different language so don't understand completely,"This video shows a man sitting in his room with laptops behind him. The man in the video is reviewing the ASUS ROG SCAR 16 gaming laptop, which features the latest 13th generation Intel Core i9 13980HX CPU and an RTX 4090 graphics card. He highlights the powerful performance of the CPU and the graphics card, as well as the impressive cooling system, the 240Hz display, and the quality of the speakers. This video is is not inappropriate as it is only talking about a gaming laptop."
U6BovNVh-FA,youtube.com/watch?v=U6BovNVh-FA,irrelevant,Personal Care & Beauty,,Detergent/softener,This video is a short 6 second advertisement about a hypoallergenic detergent for people with sensitive skin. The video is set in a supermarket where a mother expresses her concern about her daughter's sensitive skin to a doctor. The doctor recommends the all® free clear detergent. This video is not inappropriate.
gWbhoYOWiCg,youtube.com/watch?v=gWbhoYOWiCg,irrelevant,Music & Performance,,"Goodhertz is an audio plugin company, in the sense that we make audio plugins. Ad for promotion, discount ",This video features a man sitting outdoors talking about a sale at Goodhertz which is an audio plugin company. The man in the video talks about the 30% discount the customers can receive. This video is not inappropriate.
RH45frlpUcE,youtube.com/watch?v=RH45frlpUcE,irrelevant,Parenting & Family,,Pram/ baby walker ad. Even though the ad looks child directed at the start because includes animations but kids are not the target audience to sell walkers to,This video is an animated advertisement which features a baby looking at various baby strollers. It talks about different models and designs of baby strollers. This video is targetted towards new parents or caretakers. This video is not inappropriate.
_7dzvaVIoZk,youtube.com/watch?v=_7dzvaVIoZk,inappropriate,Inappropriate Clothing,Moderate,music video with inappropriate clothing,This video is a music video featuring many dancing women. They are wearing sparkly bikini tops and very short beaded skirts. They dance among one another as well as around a man who sings. This video is inappropriate as it features inappropriate clothing which shows significant skin exposure. 
HtH4irH2xJs,youtube.com/watch?v=HtH4irH2xJs,irrelevant,Food and Cooking,,cooking vlog,At the start of the video a man is speaking as he takes a stroll in the streets during the day. The video then shifts to his kitchen where he teaches the audience how to make the best gyros kebab. This video is not inappropriate.
QVS6fdze_z8,youtube.com/watch?v=QVS6fdze_z8,irrelevant,Business & Entrepreneurship,,Grammarly ad for checking grammatical errors and correct english,This video features a woman speaking as she stands in an office setting. She is the Director of Engineering at Grammarly Business. This is an advertisement for the Grammarly software which is used for checking grammatical and spelling errors. This video is not inappropriate.
MZftpVXlkn8,youtube.com/watch?v=MZftpVXlkn8,irrelevant,Software,,"Liquid UI facilitates its SAP users to accomplish tasks easily with its new features. Liquid UI integrated Multiple Object Detector feature in its Android App. This video shows you how this feature helps its SAP users to recognize, detect objects and display their number in the required input field. ","This video features a software demonstration. It shows a step-by-step demonstration with on-screen text on how to use Liquid UI which has an integrated Multiple Object Detector feature in its Android App. This video is advertising a software, it is not inappropriate."
K25-4m1-cO0,youtube.com/watch?v=K25-4m1-cO0,inappropriate,"Drinking, drugs, smoking",,"mv, smoking, drinking club",This music video starts of in a dark settin with two men in sunglasses sitting on a sofa. Subsequent clips show bottles of alcohol being passed around and close-up of women's legs. There are random clips of football matches on TV in between. The video features men and women drinking and smoking in a club which makes this video inappropriate.
Ah-EkDjU2oQ,youtube.com/watch?v=Ah-EkDjU2oQ,irrelevant,Travel & Adventure,,uber renting ad,"This is advertisement for Uber Rentals. The screen shows a video of trees with a white screen overlay on which some text is shown. This video is appropriate, it just consists of some text and a background video of nature."
6E3I9Zwg0EE,youtube.com/watch?v=6E3I9Zwg0EE,child directed,Movies,,little mermaid movie trailer,"This is a movie trailer for Disney's live-action ""The Little Mermaid"". It features scenes of Ariel, a mermaid talking to her friends, a flounder fish, a seagull and a crab. The scenes are shown underwater. There are scenes showing a castle and a carriage ride. The trialer ends with a on-screen text saying that the movie will be shown ""Only in Cinemas"". This video does not contain any inappropriate scenes so it is appropriate."
pxy849Tlmw8,youtube.com/watch?v=pxy849Tlmw8,child directed,Non-violent video games,,ad showing how to build a seafront in minecraft,This is a video ad for Minecraft. The video shows a sped up demo of the game. It is in first person perspective and the character choses different game items to build with. On-screen text says that the game is available to download on the Apple App Store and Google Play store. This video is appropriate since it is just a video with a demo for Minecraft which is a popular children's game which is rated E10+.
Imlwc6AB5R8,youtube.com/watch?v=Imlwc6AB5R8,irrelevant,Home and Lifestyle,,ad for a toolkit for home renovation,This is a short video ad for a Hidden Decking System.The video shows a man safely installing a deck in his backyard. We can also see some close up shots of a drill and a screw. Text on screen gives more information about the product. This video is appropriate because it does not contain any inappropriate elements. It is targeted towards people who are interested in home renovation.
qI-Kwgk0hsQ,youtube.com/watch?v=qI-Kwgk0hsQ,irrelevant,Autos & Vehicles,,Ad for a company that makes electric vehicle chargers,This video ad has a vintage aesthetic. It features a a picture of child dressed like he belongs to the 80's period standing infornt of a car. Text appears on-screen on top of the picture. The video is an ad for a super fast charger for electric cars. This video is not inappropriate.
iETos7J-3SY,youtube.com/watch?v=iETos7J-3SY,irrelevant,Business & Entrepreneurship,,sucess stories,"This is a video feautrung different people talking about the importance of good workplace culture. In different scenes, different people sit in front of the camera, dressed in formal office clothing and speak about the importance of good workplace culture with smiling faces. In between, clips show people in the office working together happily. This video is not inappropriate."
mVKDrykzpAY,youtube.com/watch?v=mVKDrykzpAY,irrelevant,Finance & Legal,,insurance company ad,This is a short funny video ad which features a man dancing with a large potted plant. On-screen text references an insurance plan. This video is not inappropriate.
6B18zyv7TCU,youtube.com/watch?v=6B18zyv7TCU,irrelevant,Travel & Adventure,,British airways,"This is a video ad for the British Airways airline. It consists of multiple pictures: a smiling air hostess, someone enjoying a refreshment in the plan, someone sleeping in their business class seat. On-screen text promotes the airline and talks about benefits customers can receive. This video is not inappropriate."
tVfeWGpIzfg,youtube.com/watch?v=tVfeWGpIzfg,child directed,Play and Adventure,,Ad for a water resort,This video is an ad for an annual pass for an amusement and water parks. It consists of clips showing different rides such as roller coasters and water rides as well as happy children. The last scene shows a golden ticket which is the annual pass. This ad is targeted towards families with children to enjoy the theme parks. This video is not inappropriate.
dDrf5oYEJmE,youtube.com/watch?v=dDrf5oYEJmE,irrelevant,Fashion,,shoe brand ad,"This is an ad for a shoe and bag brand. Clips show close-ups of different shoes and bags in aesthtic settings such as in a park, on a tree and at the beach. This video is not inappropriate. "
mLBqBCkl-tg,youtube.com/watch?v=mLBqBCkl-tg,irrelevant,Software,,online delivery service,This is short colorful animated ad for GrubHub which is an online food ordering service. This video is not inappropriate.
6HPrtKiPRmE,youtube.com/watch?v=6HPrtKiPRmE,irrelevant,Food and Cooking,,Ad for nescafe's coffee. shows a family enjoying it,Thie video is an ad for Nescafe Gold coffee. It shows clips of a family enjoying spending time with eachother and drinking coffee together in a garden setting. This video is not inappropriate.
JY7JIw2-Ktg,youtube.com/watch?v=JY7JIw2-Ktg,irrelevant,Food and Cooking,,lipton tea ad,Thie is a short video ad for Lipton Tea. It features a man in ablue T-shirt doing bicep curls and then he stops to hold up a cup of tea and speak to the camera. This video is not inappropriate.
eGmtjBqdrJs,youtube.com/watch?v=eGmtjBqdrJs,irrelevant,Food and Cooking,,lamb meat ad,This video starts off with a narrator speaking as clips of green hills are shown. The next clip show people grilling and enjoying meat. This is an add for grass-fed organic lamb and beef meat. This video is not inappropriate.
71SYQOYL578,youtube.com/watch?v=71SYQOYL578,irrelevant,Home and Office,,clothes detergent ad,"This is an ad for washing detergent. In the first scene, a little girl playfully hugs her father from behind as he loads the laundry into the washing machine. She plays and hugs her teddy bear. The next scene show grandparents hugging eachother. The next scene shows the man putting the lit back on th ebottle of detergent. At the end, we see the different types of dteregent products with a teddy bear placed on the side. This vidoe is no inappropriate. "
E0jY8jN-9Jk,youtube.com/watch?v=E0jY8jN-9Jk,irrelevant,Finance & Legal,,mortage/ house buying,Thie video is an ad for a mortgage company. It features a woman sitting on a bench as she holds her puupy and another lady in a red coat approaches her and tells her the benefits of her company. This video is not inappropriate.
QMO0v386OUE,youtube.com/watch?v=QMO0v386OUE,child directed,Family friendly gaming,,game trailer,"This video is an ad for a video game. The video shows pixelated characters attending concerts,  doing obstacle races and performing on a stage. This video is not inappropriate."
hhh4S_LtCyM,youtube.com/watch?v=hhh4S_LtCyM,irrelevant,Parenting & Family,,app for parents,"This video features multiple clips of happy children doing daily activities such as eating, playing and studying. The next scene shows a woman standing in fromt of the camera as she asks the audience to share their challenges with growing. kids in the comment box or on a social media page. This is an ad targeted towards parents. This video is not inappropriate."
XFPuWIUpRQE,youtube.com/watch?v=XFPuWIUpRQE,irrelevant,Finance & Legal,,sweden bank ad,"This video is an advertisement for a bank. In the only scene shown, a man is seen in the window of a food truck, a woman is seen outside as a custoomer, and a black board is seen with a menue written on it. This video is not inappropriate. "
HxLVoQM98xE,youtube.com/watch?v=HxLVoQM98xE,irrelevant,Music & Performance,,music beat insturmental,This video only conains one image with music without lyrics playing in the back. The image is of a anime/cartoon style man over a yellow background. This video is not inappropriate. It conly contains some music beats and an appropriate cartoon image.
0D9FnfmPRnE,youtube.com/watch?v=0D9FnfmPRnE,irrelevant,Tech & Gadgets,,4G package,"This video is an ad for a mobile plan. Itshows a happy man looking in the mirror. He uses his phone and as he jumps, he appears in different clothes. The following scenes include colorful backgrounds with on-screen text giving more details about the plan. This video is not inappropriate. "
brGcBfpqLSs,youtube.com/watch?v=brGcBfpqLSs,inappropriate,Death,Moderate,ad for a music video showing a dead person lying in the start,"This is a music video but it starts off with a man with distressed look on his face as he stares at his dead wife's body. The next scene shows the wife's picture framed on the wall in memorial. The following scenes show a father taking cae of his daughter, oiling her hair, playing with her etc. This video is inappropriate since the first scene (showing a dead body) shows an element of ""death"""
fRbmFwVmodM,youtube.com/watch?v=fRbmFwVmodM,irrelevant,Home and Office,,"Trying to get my family of 9 organized! vlog, ad for cricut machine","This is a vlog showing a woman on a farm reorganizing a room. Most of the scenes in the video show parts of the same room, and the woman cleaning and organizing them. Some scenes show the same woman in front of the camera in a living room, talking about her organizational system and her sponsers. This video is not inappropriate. "
0i5e3KRXbto,youtube.com/watch?v=0i5e3KRXbto,irrelevant,Gaming & Entertainment,,youtube primetime channels,"This video is an ad for youtube primetime channels. It shows the youtube interface for the feature, and bits of some videos on the platform. The video is not inappropriate. "
bzDD8ItXmXY,youtube.com/watch?v=bzDD8ItXmXY,irrelevant,Business & Entrepreneurship,,"Hotjar - Your marketing questions, answered - business helping tool ig",This is an advertisement for a marketing software / tool. Initially it shows a lot of numbers of the screen in front of a man. Later it shows money fallling down. This video is not inappropriate. 
PpCZPdLC6Cc,youtube.com/watch?v=PpCZPdLC6Cc,inappropriate,"Drinking, drugs, smoking",Extreme,ad for a music videos. shows smoking and explicit themes,"This is a music video that is shown in black and white. The first few scenes show a house and different parts of the house. Then a manis shown on screen smoking a cigar on his balcony as a song plays in the background. Subsequent scenes show that man with a cloth wrapped around his face, driving a car. He sings words like ""nigga"" and ""fuck"" while he points the middle finger to the camera. This video is inappropriate based on many grounds such as offensive language, smoking and offensive gestures,"
EErQSV7Xph0,youtube.com/watch?v=EErQSV7Xph0,irrelevant,Education & Learning,,Ad for a university showing its advantages,This video shows an ad for a university. There are multiple scenes in which images of students are shown with texts appearing that highlights how the univeristy addresses issues such as discrimincation and harrasment. Light music is playing in the background as well. This video is not inappropriate. 
eXmwb8f8_pc,youtube.com/watch?v=eXmwb8f8_pc,irrelevant,Fashion,,clothing brand,This video shows an ad for a clothing brand. It includes multiple scenes that feature children as well as adults in clothes by the brand. There is a song playing in the background with appropriate lyrics as well. This video is not inappropriate. 
Q3qwz4bveY8,youtube.com/watch?v=Q3qwz4bveY8,irrelevant,Fashion,,ad for uniqlo clothes,"This video shows an ad for a clothing brand. Multiple scenes depict white clothes and the quality features of them, including comfort, smoothness etc. The video contains light background music. The video is not inappropriate. "
HQDrs4t1Zyk,youtube.com/watch?v=HQDrs4t1Zyk,inappropriate,Intimacy,Moderate,music video with intimacy,This is a music video which features multiple interactions. A man and woman standing closely 
r7veNlZM8VY,youtube.com/watch?v=r7veNlZM8VY,irrelevant,Business & Entrepreneurship,,staffing agency - insight global,This is an advertisement for a a staffing agency. It shows two people on their PC in separate scenes and has light music in the background. This video is not inappropriate. 
Eq1wBOY25ak,youtube.com/watch?v=Eq1wBOY25ak,irrelevant,Education & Learning,,Summer Internship Program for Engineering Students,This is a commercial for a summer internship program. It shows two boys describing their experience during the program. It contains some background music as well. This video is not inappropriate. 
odDZGqd8jTo,youtube.com/watch?v=odDZGqd8jTo,inappropriate,Intimacy,Mild,"telugu song, featuring clips from movie, couple",This is a music video. It shows multiple clips featuring a movie. It depicts intimate scenes between a man and a woman in multiple instances. This video is inappropriate. 
8MH3Kbb--us,youtube.com/watch?v=8MH3Kbb--us,irrelevant,Software,,ad for check24 app (cost comparison app),This is an ad for a mobile application for cost comparison. The video shows a man with a microphone sharing app details with multiple people. This video is not inappropriate. 
3rW86CuFfIk,youtube.com/watch?v=3rW86CuFfIk,irrelevant,Home and Office,,Harpic cleaner ad,This is an ad for a cleaner. It shows a man and a woman talking over lunch / a meal. This video is not inappropriate. 
brk41Rl4TXk,youtube.com/watch?v=brk41Rl4TXk,inappropriate,Display of weapons,Extreme,"gangster, burning stick weapon, harassment","This is a music video. It shows a man and a woman dancing. It displays weapons and fire, as well as physical harrasment in the form of extreme fights between men. This video is inappropriate. "
aVjIgIJdNpQ,youtube.com/watch?v=aVjIgIJdNpQ,irrelevant,Tech & Gadgets,,Ad for dyson's vaccums,This video shows as ad for a hair product. The main scene shows a woman using the product. This video is not inappropriate. 
Dg0sl2PtxEY,youtube.com/watch?v=Dg0sl2PtxEY,irrelevant,Software,,"ad for Aura, online safety software","This video is an advertisement for a web based software, that is concerned with security. It shows a group of men at a work site setting. This video is not inappropriate. "
Qi4J1OAv-5Q,youtube.com/watch?v=Qi4J1OAv-5Q,irrelevant,Fitness & Exercise,,Workout training app,This video is an advertisement for a fitness application. This application is to assist people with workout / training. It shows various people promoting the application. This video is not inappropriate. 
lqH-0-olhDU,youtube.com/watch?v=lqH-0-olhDU,inappropriate,Intimacy,Mild,lyrics romantic,"This ad shows a music video. Although no inappropriate visual content is shown, the lyrics depict romance, which makes this video inappropriate. "
opNK4iEb5RI,youtube.com/watch?v=opNK4iEb5RI,inappropriate,Intimacy,Mild,music video with a few clips of intimacy,"This is a music video. The given video involves some scenes that depict intimacy between a man and a woman, for instance, one scene shows the two kissing. This video is inappropriate. "
gc9-4oq1idA,youtube.com/watch?v=gc9-4oq1idA,child directed,Gaming & Entertainment,,animated PG rated disney movie,This is an animated video; it shows the trailer of a disney movie that is rated for children. This video is not inappropriate. 
kBqrf1LvpPo,youtube.com/watch?v=kBqrf1LvpPo,inappropriate,Inappropriate Clothing,Extreme,punjabi mv - shirtless man,"This is a music video for a song. It initially shows a man and a woman holding hands and walking. In a later scene, the man is shown in inappropriate clothing; he is shirtless. This video is inappropriate. "
FYIDBhtSuzw,youtube.com/watch?v=FYIDBhtSuzw,inappropriate,Display of weapons,Moderate,movie trailer with weapons and fight,"This video is the trailer for a movie. It shows humans as well as gorillas, in some fantasy world. Weaponary is shown at multiple instances in this video, as well as physical violence. Hence, this video is inappropriate. "
7JRAwn40q_0,youtube.com/watch?v=7JRAwn40q_0,inappropriate,Offensive language,Extreme,Ad of a music video. Song has references to drug use and alcohol,This is an ad for a music video. It shows the artist smoking in an inital scene. The language used in the lyrics also refer to drug use and to drinking. This video is inappropriate. 
BHLVY4NNF6A,youtube.com/watch?v=BHLVY4NNF6A,inappropriate,Intimacy,Mild,Music video containing intimacy,"This ad shows a music video. Initially, a man is seen shirtless in a shower. Further, the video shows multiple instances of intimacy. This video is inappropriate. "
R_2dY1reH-Y,youtube.com/watch?v=R_2dY1reH-Y,inappropriate,Sexual content,Moderate,Ad of a song with a woman licking her finger in a sensual way. Song has inappropriate lyrics when translated,"This video shows the ad for a song. Through the entire duration of the video, only a poster is displayed. This poster shows a woman licking her finger in a manner that is not appropriate. This video is inappropriate. "
VYQPuKvmTHM,youtube.com/watch?v=VYQPuKvmTHM,inappropriate,Sexual content,Mild,music video shot on a beach. band also playing on a beach.,"This ad shows a music video on a beach. Initially, people are seen dancing and playing instruments. The same people are seen playing instruments on a yatch as well. the video focuses on the body of a woman in multiple instances of the video, in an inappropriate manner. This video is inappropriate. "
PZHQSzm35fE,youtube.com/watch?v=PZHQSzm35fE,inappropriate,Sexual content,Mild,scene focusing on lady's legs,This is a music video for a breakup song and shows 2 men fighting over a girl. It also shows the girl in inappropriate clothing and some shots might seem sexual. The lyrics also talk about the unfaithful partner. This video is inappropriate.
u9EDS6OVwh0,youtube.com/watch?v=u9EDS6OVwh0,inappropriate,"Drinking, drugs, smoking",Moderate,Music video containing a group of guys drinking,This is a rap music video showing some guys with cars. The video shows alcohal and drugs. The lyrics also talk about being a back bencher in class. This video is inappropriate.
IqX7dda9w4I,youtube.com/watch?v=IqX7dda9w4I,child directed,DIY & Arts and Crafts,,Arts video for kids on how to draw a sun,This is an animated video of a tutorial on how to draw the sun. It features a cartoon lion teaching the drawing. The music is very joyful. This video is appropriate.
JsWSPKj0x_I,youtube.com/watch?v=JsWSPKj0x_I,inappropriate,Offensive language,Moderate,paint ad includes song with adult words,"This is an ad for a paint company. It features many adults singing a song about it and the usage of adult words like ""balls"". This video is inappropriate."
kpDl6K2uRb8,youtube.com/watch?v=kpDl6K2uRb8,child directed,Play and Adventure,,Ad for a safari theme park,This video is an ad for a theme park and features a cartoon bunny catching a tool. There is only one clip showing the bunny with the tool. The video is not inappropriate.
VzLXl_cZjVQ,youtube.com/watch?v=VzLXl_cZjVQ,child directed,Toys,,Ad showing a collaboration between lego and Disney princesses,This video is an ad for a collaboration between lego and disney. It features girls of many ethnicities playing with lego princesses. This video is not inappropriate.
fdDnIZhns4M,youtube.com/watch?v=fdDnIZhns4M,child directed,Cartoons,,The Super Mario Bros. Movie - Own Or Rent Now,This video is a movie ad for Super Mario Bros. Clips feature cartoon characters like Mario and cartoon monkey riding a bike. This video is not inappropriate.
-vTF1JURVYk,youtube.com/watch?v=-vTF1JURVYk,inappropriate,Physical Violence,Extreme,This video had disclaimer from youtube that it is not appropriate for some audiences.,The video is mini news segment. Clips feature protests and mobs fighting. It also talks about the LGBTQ movement. This video is inappropriate.
ftywoDPCyho,youtube.com/watch?v=ftywoDPCyho,inappropriate,Intimacy,Moderate,music video with intimacy,This video is a music video for a sad song. The video features a cheating man and the overall plot also displays this. Clips feature kissing on the hand and other sorts of intimacy. This video is inappropriate.
yMPMU_u2HBg,youtube.com/watch?v=yMPMU_u2HBg,inappropriate,Intimacy,Moderate,"inappropriate clothing, intimacy, kiss on cheek","This video is a music video for a song. The video features a dancing couple with inappropriate, flashy clothes. Clips feature intimacy and kissing on cheek. This video is inappropriate."
fOdo1GkzZAk,youtube.com/watch?v=fOdo1GkzZAk,child directed,Educational Content,,adapted mind ad,This video is an educational AdaptedMind video for childen. Clips feature animated characters conversing and asking educational questions. There are questions about english and math. This video is not inappropriate.
DDL5qspSBgQ,youtube.com/watch?v=DDL5qspSBgQ,inappropriate,Offensive language,Extreme,Person talking about how he got accused for pedo and sex,This video is a short online news clip. The clip has mentions of sex abuse and pedophilia allegations with imagery of men holding stacks of money. There are clips of legal charges and fines. This video is inappropriate.
ciOU_smZnqA,youtube.com/watch?v=ciOU_smZnqA,child directed,Educational Content,,App for kids for education and learning,This video is an educational AdaptedMind video for children. Clips feature animated characters in an animated jungle setting teaching the children about basic math and english. This video is not inappropriate.
Hgge3iTiJfY,youtube.com/watch?v=Hgge3iTiJfY,inappropriate,Intimacy,Mild,Breakup type song. Does contain references to death etc in the lyrics,This video is a music video for a breakup song. Clips feature both girl and guy being sad. Lyrics contain mentions of wanting to die and alcohal. This video is inappropriate.
SaOd0DC-tD8,youtube.com/watch?v=SaOd0DC-tD8,inappropriate,"Drinking, drugs, smoking",Moderate,shows use of tobacco products and drinking,"This video starts of with an animated picture of a bridge. The next secene shows two men sitting together. One man seems distressed and is smoking a cigarette and the other man hands him a bottle of beer. Then the music starts and features clips of a man dancing. There are behind-the-scenes clips of anotehr man singing the song in the video in a music studio. Because of the smoking and presenece of alcohol bottles, this video is inappropriate even though the rest of the video just features dancing."
NjgqRS1ZpZY,youtube.com/watch?v=NjgqRS1ZpZY,child directed,Poems/Songs/Nursery Rhymes/Music,,Ad for a music video of a child singing about her parents,This video is a nursery rhyme video. Clips feature animated characters singing and dancing about family. The video has vibrant colours and a joyful theme. The video is not inappropriate.
QSszfCOX0IA,youtube.com/watch?v=QSszfCOX0IA,inappropriate,Physical Violence,Moderate,netflix ad includes clips of weapons and violence,"This video is a Netflix ad about their action movies. Clips feature explosions, violence, fights and weapons like swords. The video is inappropriate."
kjCExokb8z0,youtube.com/watch?v=kjCExokb8z0,inappropriate,Intimacy,Mild,Music video with intimacy,"This video is a music video for a romantic song. Clips feature a couple singing, dancing, cuddling and kissing. The video features intimate scenes. The video is inappropriate. "
2YKQRSzY3Rs,youtube.com/watch?v=2YKQRSzY3Rs,inappropriate,Offensive language,,ad of a rap song. contains stereotypical references,This video is a music video for a rap song. Clips feature men dancing and partying. Some clips have champayne in them. This video is inappropriate.
MpddlxEGGwk,youtube.com/watch?v=MpddlxEGGwk,child directed,Cartoons,,hot wheels cartoons,This video is a clip from Hot Wheels Camp Crush cartoon series. Clips feature hot wheels cartoon trucks driving through a desert. This video is not inappropriate.
mFq68GJpuGk,youtube.com/watch?v=mFq68GJpuGk,inappropriate,"Drinking, drugs, smoking",Moderate,ad with a music video. contains glorification and references of drugs,"This video is a music video for a rap song. Clips feature women wearing inappropriate clothes, twerking and doing inappropriate moves. Lyrics contain references of drugs and drinking. This video is inappropriate."
QOTt58XpLRo,youtube.com/watch?v=QOTt58XpLRo,inappropriate,Scariness,Moderate,"Ukraine war shows firse, violence and weapons","This video is an online news clip. The video features shots and clips of war ruins, violence, explosions, and weapons. The audio contains details of death toll. The video is inappropriate since it is scary."
PDhuBthUMFE,youtube.com/watch?v=PDhuBthUMFE,inappropriate,Intimacy,Moderate,Music video contain intimacy,This video is a music video for a romantic sad song. Clips feature a couple displaying intimacy. Lyrics talk about cheating and breakup. This video is inappropriate.
XzD2wrCtIGY,youtube.com/watch?v=XzD2wrCtIGY,inappropriate,Intimacy,Mild,music video. couple kissing,This video is a music video for a party song. Clips feature men and women dancing and drinking together. A couple is also seen being intimate and kissing. This video is inappropriate.
4jCmOA76gY0,youtube.com/watch?v=4jCmOA76gY0,inappropriate,Scariness,Extreme,Diablo Video game  includes dark and horror themes with weapons,This video is an ad for Diablo video game. Clips have dark and scary themes and feature weapons and flashes. This video is inappropriate.
YkVSw2RFGmY,youtube.com/watch?v=YkVSw2RFGmY,child directed,Storytelling,,Ad showing an animation of peppa pig in her house,This video is an episode of Peppa Pig motion cartoon figure series. Clips feature Peppa Pig cartoon figures in an animated story. The story is about Peppa Pig's bath time and shows joyful family moments. This video is not inappropriate.
XESosEIIs00,youtube.com/watch?v=XESosEIIs00,child directed,Gaming & Entertainment,,Peter pan disney movie,This video is a trailer for the live action Peter Pan movie. Clips feature pirates and fairies as well as Peter Pan fighting the pirate. This video is not inappropriate as the movie itself is child-directed.
