Video id,Link,Primary Tag,Secondary Tag,Rating,Coder_Description,desc
TOj784PChEU,youtube.com/watch?v=TOj784PChEU,inappropriate,Offensive language,Moderate,rap song with explicit lyrics. video also depicts drinking and smoking,"This video is a music video for a rap song. Clips feature men and women partying, drinking and doing drugs. There are some shots of poker as well. The lyrics are explicit and contains mentions of sex and drugs. This video is inappropriate."
fFmriZELQk0,youtube.com/watch?v=fFmriZELQk0,child directed,Non-violent video games,,Nintendo switch mario game ad,This video is a trailer for Lego cars. Clips feature many animated lego cars and figures in a racing arena. This video is not inappropriate.
MUlCcY8Bfk0,youtube.com/watch?v=MUlCcY8Bfk0,inappropriate,Scariness,Moderate,"ad for Poppy Playtime game, creepy characters",This video is an ad for Poppy Playtime game. Clips feature a creepy and scary character chasing the main character in the game. The background music is also creepy. This video is inappropriate.
nZ_ChJpufrc,youtube.com/watch?v=nZ_ChJpufrc,inappropriate,Offensive language,Mild,Courtroom includes people fighting and using offensive language,This video shows a game show setting. Two people are competing against each other and are seen verbally fighting. The language that they use is iinappropriate. This video is inappropriate. 
JKDYEHOtx4s,youtube.com/watch?v=JKDYEHOtx4s,child directed,Storytelling,,ad for a kid's fairytale,"This animated storytelling video portrays the tale of the Happy Prince, a statue adorned with jewels, and a bird that selflessly distributes the jewels to help the needy, despite staying in the area out of season. Eventually, the bird dies, and the Happy Prince, once admired for his beauty, becomes weathered and is torn down. Two angels take the two most precious things on Earth—the Prince's metal heart and the bird—to present them to God in heaven. The video conveys a message of goodwill and is not inappropriate. "
fY1iPBWGxfE,youtube.com/watch?v=fY1iPBWGxfE,child directed,Toys,,barbie ballerina doll,This video shows an ad for a ballerina barbie doll toy. The hands of kids are seen playing with this doll. This video is not inappropriate. 
7iNIPyDauxM,youtube.com/watch?v=7iNIPyDauxM,inappropriate,Scariness,Extreme,ad showing a zombie apocalypse with very intense graphics,"This video ad showcases a frightening zombie apocalypse game, featuring targeted shooting, fiery explosions, ominous background sounds, and dark, unsettling visuals. The ad is highly inappropriate."
4uEZzOMBbus,youtube.com/watch?v=4uEZzOMBbus,inappropriate,Offensive language,Extreme,Lil Pump - I Don't Mind (bad words!!),"This ad is a music video featuring offensive lyrics, making it highly inappropriate."
t1YinpEGbtQ,youtube.com/watch?v=t1YinpEGbtQ,inappropriate,Intimacy,Moderate,"ad for FARFETCH, clothing brand but sensual elements present","This video shows an advertisement for a clothing brand. It features a woman and a man on a beach, and shows multiple scenes and depict intimacy. It shows the two people kissing at one instance. This video is inappropriate. "
GnymbIhPyxM,youtube.com/watch?v=GnymbIhPyxM,child directed,Toys,,Ad for squishy stretchy boxing character figures,This video is an advertisement for toy character cartoon figures. Parts of the video show the action figures fighting in a playful manner. This video is not inappropriate. 
cziU5vuwtbA,youtube.com/watch?v=cziU5vuwtbA,child directed,Toys,,Ad showing different mobility features of a mariocart toy and a child controlling it with a remote,This video is an ad for a mariocart toy; a child is seen playing with the toy. This video is not inappropriate. 
BwkLVZI3Yrw,youtube.com/watch?v=BwkLVZI3Yrw,child directed,Play and Adventure,,"Visit Dubai, arcade",This video features an arcade / indoor play area in Dubai. It shows children as well as adults playing arcade games and skating. This video is not inappropriate. 
K3jQy4a2wUw,youtube.com/watch?v=K3jQy4a2wUw,inappropriate,Scariness,Mild,"masks, gang signs","This is a mysic video. It depicts a bunch of men that are seen raping and dancing. The video shows the group of men as art of a gang, as wearing masks. This video is mildly inappropriate. "
uCskXmWmNok,youtube.com/watch?v=uCskXmWmNok,child directed,Cartoons,,video from Star Wars: Young Jedi Adventures showing the characters going on an adventure for training,This is a clip from an animated version of star wars. It shows cartoons with swords fighting. This video is not inappropriate. 
nOxZiav_pv8,youtube.com/watch?v=nOxZiav_pv8,child directed,Educational Content,,ad about a Math and logic based visual game.  Contained no monetary information,This video is an ad for a cartoon-based math and logic game. It shows problems and explanations; essentially shows the interface of the game. This video is not inappropriate. 
OPmKWunKuoo,youtube.com/watch?v=OPmKWunKuoo,inappropriate,Physical Violence,Extreme,Movie trailer contains violence and killing,"This is the trailer for an action movie. The video shows a display of weapons, fire, crying, violence. This video is not appropriate. "
ULJLfuO4Fw4,youtube.com/watch?v=ULJLfuO4Fw4,inappropriate,Scariness,Extreme,black magic ad,This is an advertisement for a person who depicts he is capable of black magic. The video highlights all the things that he is capable of acheiving via black magic. This video is inappropriate. 
BHWlOpk4RJQ,youtube.com/watch?v=BHWlOpk4RJQ,inappropriate,Intimacy,Moderate,"mv; intimacy, drinking, inapp clothing","This is a music video. It shows a woman singing, picking out clothes initally, then at a party, The video shows her with a glass of what seems like an alcoholic drink in multiple instances. It also shows her in provocative clothing. The video shows scenes of intimacy as well. This video is inappropriate. "
nBThwNMh3o0,youtube.com/watch?v=nBThwNMh3o0,child directed,Cartoons,,ad for a compilation of the cartoon peppa pig,This is from a cartoon peppa pig. It shows multiple cartoon characters in a family interacting wirh each other. It shows multiple clips from the same cartoon. This video is not inappropriate. 
oHxb9YDui94,youtube.com/watch?v=oHxb9YDui94,child directed,Toys,,Ad for a playdough tool,This is an ad for a tool used by children to mould and form shapes with play dough. It shows children playing with the toy. This video is not inappropriate. 
UtEoi-vI7s0,youtube.com/watch?v=UtEoi-vI7s0,inappropriate,Offensive language,Extreme,Ad about a rap music video. Contains inappropriate language,"This is a music video showing a rap song. A guy is shown in multiple places rapping. It contains a lot of inappropriate language, such as the frequent use of the words 'fuck' and 'shit'. This video is inappropriate. "
tFy0geWLrdc,youtube.com/watch?v=tFy0geWLrdc,inappropriate,"Drinking, drugs, smoking",Moderate,"mv, smoking, bottles of alcohol",This is a music video for a rap song. A group of men are shown throughout and some buildings. The men are seen drinking and smoking in multiple instances. This video is inappropriate. 
NvhTO2eOULI,youtube.com/watch?v=NvhTO2eOULI,inappropriate,Intimacy,Extreme,music video with intimacy cheating and inappropriate clothing,"This is a music video for a song. It shows a man and a woman initially. The two people seem to be together but the man is shown to be cheating on the woman. The video shows a different woman in provocative clothing as well, she is seen in a bikini in front of a swimming pool. The man is also shown shirtless. Multiple scenes of intimacy between the two people is also shown, including three scenes where they kiss. This video is inappropriate. "
0_GybqzY2fU,youtube.com/watch?v=0_GybqzY2fU,child directed,Family friendly gaming,,lego nintendo game ad,"This video is an advertisement for LEGO Nintendo games, featuring a vibrant, child-friendly driving game. The ad is colorful, engaging, and is not inappropriate."
4EwxbCpsiyE,youtube.com/watch?v=4EwxbCpsiyE,inappropriate,Sexual content,Extreme,sexualization of women. inappropriate dances in music video,"This ad is of a music video featuring a group of men with cars. However, it portrays women in a highly sexualized manner, with revealing clothing and suggestive behavior. This video is highly inappropriate."
JCNralklITA,youtube.com/watch?v=JCNralklITA,inappropriate,Physical Violence,Moderate,Tulsa King | Buy or Rent on Digital | Paramount Movies; physical violence,"This is an ad for a TV series called Tulsa King. The video has physical violence and features the main character attacking other individuals, including strangling one human and burying a dead body. The main character appears to be a mafia boss and shows him in multiple settings. The characters also talk about death in the video but narration has no swear words. This video is not appropriate for children due to its depictions of violence."
HS0iDUzk-pc,youtube.com/watch?v=HS0iDUzk-pc,child directed,Toys,,pokemon toy ad,This ad promotes a Pokemon building blocks toy. Two children are shown playing with the toy in a cheerful setting. The theme is colorful and exciting. The video is not inappropriate.  
x7ZA5_lD8mI,youtube.com/watch?v=x7ZA5_lD8mI,child directed,Non-violent video games,,ad about a game where you drive cars,This ad promotes a hill climbing car game. The car collects gold points on it way. The video has colorful visuals. It is not inappropriate. 
oJOKRI3ThwA,youtube.com/watch?v=oJOKRI3ThwA,inappropriate,Inappropriate Clothing,Extreme,indian music video,This is a music video for an Indian song. The song depicts a wedding scene with the main character entering in a sports car. The camera then shifts to the main character with a woman who is wearing extremely revealing clothes. The dance moves in this video are also extremely suggestive and the lyrics also have sexual connotations. This video is not appropriate due to revealing clothing and suggestive dance move and lyrics.
kfdhcG1-vOg,youtube.com/watch?v=kfdhcG1-vOg,child directed,Toys,,super mario game toy,"This ad promotes Super Mario Bros toys, featuring two children playing with the toys in an imaginative and fun-filled setting. The video shows vibrant colors, playful themes, and dynamic visuals that highlight the excitement and creativity the toys inspire. It captures the joy of play and is designed to appeal to children. It is not inappropriate. "
5yChx37K2rQ,youtube.com/watch?v=5yChx37K2rQ,child directed,Cooking and Food,,ad for a child's dietary supplement,"This Nestlé ad promotes a nutritious drink for children, highlighting the vitamins it provides. A group of children can be seen drinking it happily. The ad is not inappropriate."
morS4Hb9HHo,youtube.com/watch?v=morS4Hb9HHo,child directed,Cooking and Food,,ad for a young kid's dietary supplement,"This Milo ad promotes a nutritious drink for children, emphasizing the vitamins it provides and its positive impact on growth and physical health. The ad is not inappropriate."
bCrPil7lzuU,youtube.com/watch?v=bCrPil7lzuU,child directed,Storytelling,,Ad for a kids tv show,"This ad promotes Nickelodeon which is a TV channel for children. It features a child discovering an orange Nickelodeon splatter on their roof, which leads them into a vibrant, animated world filled with cartoons. The video is colorful, imaginative, child-friendly, and is not inappropriate."
kiQJIb4dZ5I,youtube.com/watch?v=kiQJIb4dZ5I,child directed,Toys,,Ad for nerf guns for 5-6 year olds playing with family,"This is an ad for a childrens's toy gun. The video shows a family of 4 playing with the toys, first shooting at each other. The 2 children ride on their parents back as they spin around trying to hit each other. Then the video cuts to the family aiming at a tower of paper cups trying to topple the tower. Everyone is wearing eye protection. The music for the ad is lively and the video ends with a closer shot of the multiple variants of the toy. This ad is not inappropriate."
PNLjw8ZS6IU,youtube.com/watch?v=PNLjw8ZS6IU,child directed,Toys,,Ad for barbie dolls from mattel,This is an ad for barbie dolls. The ad begins with a boy and girl playing with a toy set at a picnic. The second scene shows a girl playing with a chef doll while she eats her food from a bowl and also feeds her dog. The third scene features a girl wearing a stethoscope and she attempts to listen to a toy dog's heartbeat with a doctor doll in the background. The video then shows two girls playing with a doll set and shows a doll who is on a wheelchair and the video then cuts to a girl who is on a wheelchair playing with a doll. This video shows how inclusive barbie dolls are. It is not an inappropriate video.
-8xuko7PTO8,youtube.com/watch?v=-8xuko7PTO8,child directed,Toys,,Monster High dolls @Smyths Toys,"This is an ad for hallowee themed children's dolls. The video shows 5 female dolls as dracula, frankenstein's monster, a werefolf, cleopetra and a sea monster sitting inside of a toy car. The video then one-by-one showcases each of the dolls while zooming into special characteristics like their shoes, makeup and hair. The narrator is talking about the names of the dolls and giving more information for the playset. The audio has thunder and wolve sounds to compliment the halloween theme. This video is not inappropriate."
6hzPyBNoXNw,youtube.com/watch?v=6hzPyBNoXNw,child directed,Toys,,Super mario toys,"This is an ad for Nintendo's mario themed toys. The ad shows children playing with a castle tower that contains multiple toys from the mario universe such as Toad, Mario, and Luigi. The video also shows a mario-kart themed raccetrack with children enjoying the toy. The video also showcases a pinball like toy where children have to score goals and an air hockey game. Finally, they show a maze game and then pan around the multiple characters available for the toys. The audio describes each toy in detail. This ad is not inappropriate."
zCyOQC1uBjE,youtube.com/watch?v=zCyOQC1uBjE,child directed,Cooking and Food,,ad for a child's dietary supplement,This is an ad for a children's nurtitional milk based drink. The video starts with a mother waking her daughter up and then cuts to the mother making the drink for her daughter. Text on the video describes the benifits the drink has such as iron and multiple vitamins. The video then shows children doing activities such as bird watching and playing scrabble. The narrator in the background talks about the drink in detail and its benifits. This ad is not inappropriate.
Mi1uEmRgJZU,youtube.com/watch?v=Mi1uEmRgJZU,child directed,Cartoons,,video from Star Wars: Young Jedi Adventures showing the characters going on an adventure to get a special flower,This is a short video from a star wars childrens cartoon. It shows three characters walking through a forrest with yellow trees talking to each other. They are looking for a flowerand then split up in order to find it quicker. One of the characters gets lost on a tree and encounters a creature that swings him into the air. He is then able to land on the creature and befriend him and the crew then go and look for the flower together which they are able to find in the end. This ad is not inappropriate.
QyEMEOe-u1o,youtube.com/watch?v=QyEMEOe-u1o,child directed,Storytelling,,trailer for spiderman across the spiderverse movie,"This is a short audio trailer for the children's movie ""Spider Man Across the Spiderverse."" The video is a static picture that showcases the main chacracters of the film alongside the name of the movie. The audio contains a narrator talking briefly about two characters of the movies along with short audio clips from the movie itself and ends with letting the audience know the film will only be released in cinemas. This video is not inappropriate."
_y2CaMwwymE,youtube.com/watch?v=_y2CaMwwymE,child directed,Cartoons,,lego cartoons,"This is a short trailer for a children's move called Lego Friends: The Next Chapter: New Beginnings. The trailer shows different animated lego characters doing activities. The chacracters are mostly children and they are playing football, dancing, and playing with dogs and one clip also shows someone slipping on a banana peel. The audio is of effects and the chacracters voices. This video is not inapproproate. "
sFdKlSQKUXA,youtube.com/watch?v=sFdKlSQKUXA,child directed,Play and Adventure,,Ad for a safari theme park,"This is an ad for a zoo that has animated characters with . First it shows a rabbit riding a cable on top of a wrench, then a teddy bear hanging on the same cable with a cable car attached. The rabbit tries to deliver the wrench to the bear but fails. While falling the rabbit is picked up by a turtle inside of a flying car. The video then shows a circus game where a rabbit is spinning in a wheel and a fox is attempting to hit it with a ball while th rabbit screams. Before the fox can throw the ball, it gets hit with the wrench from before. The rabbit at the start then picks up the wrench and gives it to the bear. The audio is just of the animals and the narrator talking about the zoo and the activites it has. This ad is not inappropriate."
NCoEpsE3C18,youtube.com/watch?v=NCoEpsE3C18,child directed,Play and Adventure,,jurassic park adventure park,This is a review of a theme park ride at Universal Resort called Jurassic Park River Adventure. The video shows to guys who talk about the ride and answer questions about it such as whether the ride is a roller coaster or not. The video also shows clips from various parts of the ride. In the second part of the video the hosts reenact a popular scene from the jurrasic park movie. They also explain the story behind the ride along with rules such as minimum height. Finally they show the ride in action by riding on it. The ride is a water adventure with a boat that goes around a jungle themed area and through a dinosaur containment area and ends with a large drop. This video is not inappropriate.
-tp43AxnO18,youtube.com/watch?v=-tp43AxnO18,child directed,Cartoons,,Ad of a cartoon based in the lego franchise,"This is a trailer for a childrens movie called Lego Friends: The Next Chapter: New Beginnings. The trailer shows animated lego characters modelled after school going children doing different activities. The narrator is talking about the setting of a highschool and the video opens by giving a tour. It shows characters skateboarding, playing football, playing with pets etc. It also shows a school festival with festival games along with chacacters baking and solving different situations. The audio also includes characters talking. This video is not inappropriate."
Tr9xWcn2jdI,youtube.com/watch?v=Tr9xWcn2jdI,child directed,Toys,,polly pocket toy,"This is an ad for portable children's toy doll houses. The ad shows two doll houses, one centered around a beach theme with a beach hut, sand, and water. The video shows different features of the house and then shows the toy folded up, which looks like a flamingo. The second house looks like a teddy bear when folded and opens up to reveal a house with a sandy lawn and swimming pool. The video again shows different features of the house. The audio is describing the toy's and everything it can do. This video is not inappropriate."
bN0O7BTSaXA,youtube.com/watch?v=bN0O7BTSaXA,child directed,Toys,,Trampolines @ Smyths tiys,This video is an advertisement for a children's trampoline. It shows a girl bouncing on the trampoling while she talks about the trampoline and how much fun she is having. The price of the trampoline is displayed on the bottom of the screen. The audio is of the girl talking. This video is not inappropriate.
4lRv4Iv7WIA,youtube.com/watch?v=4lRv4Iv7WIA,child directed,Toys,,Ad for legos designed as minecraft blocks,"This is an ad for minecraft themed lego blocks. The video shows a child playing with the blocks and then looks over to a toddler who turns into a minecraft zombie. It shows the child making a fort to capture the zombie using pillows that turn into lego blocks and then the camera pans to the mother. After that the video shows the toddler surrounded by pillows. The audio contains minecraft zombie sounds, lively music, and in the end a narrator advertising the toy. This video is not inappropriate."
ERNCT_cYCdI,youtube.com/watch?v=ERNCT_cYCdI,child directed,Cartoons,,ad for the cartoon series The Heroic Quest of the Valiant Prince Ivandoe,"This is an ad for a children's cartoon called ""Ivando"". The video shows the main character, who is a deer, and his various adventures. The cartoon is animated and set in a medieval time and shows knight armour, medieval clothing and markets. The audio contains lively music along with audio of the characters. This video is not inappropriate."
cpKJWVPHMfk,youtube.com/watch?v=cpKJWVPHMfk,child directed,Toys,,Ad for nerf guns for 5-6 year olds playing with family,"This is an ad for a childrens's toy gun. The video first shows a family sitting on a couch when the mother comes in with the toys and hands them to everyone. The video then shows the family of 4 playing with the toys, first shooting at each other. The 2 children ride on their parents back as they spin around trying to hit each other. Then the video cuts to the family aiming at a tower of paper cups trying to topple the tower. Everyone is wearing eye protection. The music for the ad is lively and the video ends with a closer shot of the multiple variants of the toy. This ad is not inappropriate."
lhSlJkAobkE,youtube.com/watch?v=lhSlJkAobkE,child directed,Health and Hygiene for Kids,,colgate ad,This is an ad for colgate toothpaste. The ad starts with a shot of the toothpaste on a sink with fluctuating lights. Then a walks in and starts to brush his teeth. The video ends with a closeup of the box of the toothpaste. The narrator is talking about the importance of the toothpaste and there is text on the screen advertising cavity protecting properties of the product. This video in not inappropriate.
vAwkamysdq4,youtube.com/watch?v=vAwkamysdq4,child directed,Kids Cooking & Food,,"Tang ad, juice/drink targetting kids","This is an for a juice called tang. The video shows a child playing with a sock puppet and a clock starts making noise. The girl predicts that it is time to do maths and the mother yells the same thing a few seconds later. Then the camera cuts and in the next scene the girl again predicts that it is time for english but the mother instead says ""tang time"" which causes the girl to get confused. The next clip shows the juice being mixed and the girl drinking the juice while the mother talks about the benifits of the juice such as it contains vitamins. This video is not inappropriate."
MW7kQ8w5c24,youtube.com/watch?v=MW7kQ8w5c24,irrelevant,Gaming & Entertainment,,tv show channel ad,"This is an ad on a Pakistani TV channel. It talks about feminism and role of women in the society while showing multiple women in different jobs/roles like the army, office or home. The background has music sung by a woman aiming to enhance the message the ad is trying to send. This ad is not inappropriate as it does not have any content that is harmful to kids."
asxeoJNgr8s,youtube.com/watch?v=asxeoJNgr8s,irrelevant,Autos & Vehicles,,Volvo electric car,This is an advert of a car called the Volvo XC40. The ad is short and only shows salient features about the car like its electric drivetrain and ample interior space by showing people using these features. The ad has lively music and narration and seems to target a younger audience. This ad is not inappropriate.
Al_hHfSJf6s,youtube.com/watch?v=Al_hHfSJf6s,irrelevant,Music & Performance,,Orchestra playing violins,This is a video featuring an orchestra performance. There are multiple people in the orchestra playing different insturments such as violins and trumpets and a conductor. The video also pans to the audience that seems to be enjoying the performance. There is no inappropriate content in this video.
C4eImvXoQ78,youtube.com/watch?v=C4eImvXoQ78,irrelevant,Sports & Athletics,,Ad for skateboard,This is an ad for a skateboard shop and features a woman showcasing skateboards and explaining the offer in which customers would get a free shirt with every skateboard purchased. She first holds a skateboard and then changes into a shirt for the shop. She also talks about the offer in the audio and the background has lively music. The skateboards have colourful designs and the intent of the ad is to convince people to avail the offer. This ad is not inappropriate.
73bCxYRXYjw,youtube.com/watch?v=73bCxYRXYjw,irrelevant,Sports & Athletics,,sports equipment ad,This is an ad for a tire company called Laufenn that has partenered with Major League Baseball. The ad is animated and shows the pitcher attempting to hit the ball which later turns into a tire showcasing the partnership. There is music in the background and in the end the narrator speaks out the name of the company. This ad is not inappropriate. 
WilnmR4lX6k,youtube.com/watch?v=WilnmR4lX6k,irrelevant,Travel & Adventure,,Travel vlog of a person visiting a resort in miami,"This is a travel vlog from a series by Jeremías Martorell. THe series is called ""While other sleeps"" and in this episode the main character reports his travel. The video starts in Miami Florida and features his journey to Tulum in Mexico. The vlogger shows all aspects of his travels from getting his stuff ready to sitting in his car and leaving for Mexico in a plane and then to Tulum. The video also features his experience with local cuisine. This video is not inappropriate."
jrzx2OtBHI4,youtube.com/watch?v=jrzx2OtBHI4,irrelevant,Food and Cooking,,recipe for black beans sauce,This is a recipe for a black bean sauce narrated by a woman. The recipe starts by showing off the ingredients required in the recipe and then step-by-step shows the dish coming together. Different stages of the process that is preperation and cooking are also marked in the video. This video is not inappropriate.
JpNCpykjPqk,youtube.com/watch?v=JpNCpykjPqk,irrelevant,Software,,"Help protect your site with a SSL certificate, goDaddy",This is a short advertisement for the use of Secure Sockets Layer in websites by Go Daddy. The narrator of the video describes that SSL is useful for securing website and that it is needed for protecting customers data. The video itself has short clips from local businesses and also shows how that the lock logo in address bars means that the website is safe. This video is not inappropriate.
Q3IZ_njcyMc,youtube.com/watch?v=Q3IZ_njcyMc,irrelevant,Autos & Vehicles,,Ad showing features of Kia EV6,"This is an ad for the Kia EV6, an electric SUV.  The song features the car driving around a city, a guy surfing in a river using a hydrofoil and a person singing a song. The ad shows multiple angles of the cars. The music in the background is upbeat and the people in the video seem to show that the car is for an active lifestyle. This ad is not inappropriate"
S1t90ucM-54,youtube.com/watch?v=S1t90ucM-54,irrelevant,Education & Learning,,a tedx talk based on the advantages of making notes by hand,"This is a Ted talk given by Katie McCleary who talks about the advantages of making notes by hand while studying. The video shows Katie on a stage talking in front of an audience, telling people about her past experience and how writing by hand increases productivity and makes learning more effective. This video is not inappropriate."
DBZzLD06Ogg,youtube.com/watch?v=DBZzLD06Ogg,irrelevant,Home and Office,,ad for dish washing liquid,This is an ad for Maxis dishwashing liquiq. The ad first shows a bottle of the liquid zooming in on the label that says it contains bicarbonate. The video then shows a dish sponge cleaning a dirty dish with the soap and it gets immediately cleaned. This video is not inappropriate.
ujPC9wQNbtc,youtube.com/watch?v=ujPC9wQNbtc,irrelevant,Software,,A tutorial for how to use shopify,"This is a tutorial on how to use the e-commerce website called shopify. The video contains a presentation that desciribe what shopify is, how to use it and how much it costs. The narrator reads out the slides and also provides more details about the website. In the end the narrator also shows Shopify's website and the different plans available there. This video is not inappropriate. "
gJY0MyGDru8,youtube.com/watch?v=gJY0MyGDru8,inappropriate,Offensive language,Extreme,Ad of a music video. Song has explicit lyrics,"This is a music video and starts off with a dark sped-up clip of a man walking in a forest. Then we see a silhouette of the man. It is filled with  bright blue and purple. Then the man appears on the screen again and starts to sing. There are some references to drugs in the lyrics and the man goes on to sing ""I don't even fucking matter to her"". Due to the use of profane language, the video is inappropriate for children."
m0ROtuAfOLg,youtube.com/watch?v=m0ROtuAfOLg,inappropriate,Physical Violence,Extreme,"haryanvi mv - shows a gun, physical violence; sensual, harassment!!","This is a music video that starts with a man walking towards the audience. There are two cars behind him and one of the cars has two shotguns placed on it. The man then holds up a gun and rests on his shoulders. The next clip shows the same man driving in a jeep and then the camera shows some people sitting together. The next clip shows a different man singing. In a subsequent clip, a man serves food to a group of people sitting. He accidentally drops the food, and one of the men grabs him by the collar and hits him. In another clip, a man caresses and kisses a woman's hand. In another clip, a woman is sitting at a table with another woman and a man shows up and grabs her clothes and harasses her by grabbing her hand. Due to the presence of guns, physical violence and harassment, this video is inappropriate for children. The video also contains some elements of sensual touch which also makes it inappropriate for children."
xis-u5vGsFs,youtube.com/watch?v=xis-u5vGsFs,irrelevant,Autos & Vehicles,,Ad showing features of Kia Sportage,"This is an advertisement for a car, Kia Sportage. Scenes feature clips of the car's exterior and interior as a woman drives the car and smiles. This video is not inappropriate."